关键词,国家代码,广告标题,广告URL,目标URL,真实目标URL,Ref参数,Ch参数,UTM Campaign参数,广告描述,位置,抓取时间
bingx exchange,es,Bingx - Fast Deposit & Withdrawal - Bingx Official Site,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChsSEwj5tffkvsqPAxXTDoMDHWxUJqQYACICCAIQABoCc2Y&co=1&ase=2&gclid=EAIaIQobChMI-bX35L7KjwMV0w6DAx1sVCakEAMYASAAEgKFyvD_BwE&ohost=www.google.com&cid=CAASJeRoaq1Dd7k1yNHVwqnRRzRe4-7qs5vTZ1F1Wf74qd2a0U3GAZo&category=acrcp_v1_40&sig=AOD64_3rzbWuVJRmCT4Iw_K9HsyWCMx3bw&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664293181&gbraid=0AAAAApCrACZnAZsf1Q7XSOT9K6lMEOn8x&gclid=EAIaIQobChMI-bX35L7KjwMV0w6DAx1sVCakEAMYASAAEgKFyvD_BwE,IGXFYC,,,,1,2025-09-09 09:07:08.977477
bingx exchange,fr,Bingx,https://www.google.com/aclk?sa=L&ai=DChsSEwi4sZrdvsqPAxWwqf0FHdeDJlgYACICCAEQABoCd2Y&co=1&ase=2&gclid=EAIaIQobChMIuLGa3b7KjwMVsKn9BR3XgyZYEAAYASAAEgKRGPD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2gd8kH4OfcGktZ27JJU0LCYD_lcw&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664365835&gbraid=0AAAAApDpv3-33IlG8CulsVnyfnPQuLfzN&gclid=EAIaIQobChMIuLGa3b7KjwMVsKn9BR3XgyZYEAAYASAAEgKRGPD_BwE,IGXFYC,,,,1,2025-09-09 09:06:55.494261
bingx exchange,fr,High-speed Matching Engine,https://www.google.com/aclk?sa=L&ai=DChsSEwi4sZrdvsqPAxWwqf0FHdeDJlgYACICCAEQARoCd2Y&co=1&ase=2&gclid=EAIaIQobChMIuLGa3b7KjwMVsKn9BR3XgyZYEAAYASABEgJsjfD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_27dHOyhup09kzB5hy77EAwzqWuRg&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664365835&gbraid=0AAAAApDpv3-33IlG8CulsVnyfnPQuLfzN&gclid=EAIaIQobChMIuLGa3b7KjwMVsKn9BR3XgyZYEAAYASABEgJsjfD_BwE,IGXFYC,,,,2,2025-09-09 09:06:55.494261
bingx exchange,fr,Bingx Official Site - Fast Deposit & Withdrawal - Bingx,https://www.google.com/aclk?sa=L&ai=DChsSEwi4sZrdvsqPAxWwqf0FHdeDJlgYACICCAIQABoCd2Y&co=1&ase=2&gclid=EAIaIQobChMIuLGa3b7KjwMVsKn9BR3XgyZYEAMYASAAEgJ68fD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1WRkRuWVjIuiN1vj_JEq5EoHd58g&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664293181&gbraid=0AAAAApCrACYAs_iGhQGJuIPI8FKiB0UGc&gclid=EAIaIQobChMIuLGa3b7KjwMVsKn9BR3XgyZYEAMYASAAEgJ68fD_BwE,IGXFYC,,,,3,2025-09-09 09:06:55.494261
bingx exchange,ja,Bingx Official Site | Fast Deposit & Withdrawal | Bingx,https://www.google.com/aclk?sa=L&ai=DChsSEwj8o_XUvsqPAxUjm1AGHU01C5sYACICCAEQARoCZGc&co=1&ase=2&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYASAAEgImivD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0zdpRVTGOVCfFLAn12aZ2LxOne_A&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664293181&gbraid=0AAAAApCrACZnAZsf1Q7XSOT9K6lMEOn8x&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYASAAEgImivD_BwE,IGXFYC,,,,1,2025-09-09 09:06:38.073240
bingx exchange,ja,High-speed Matching Engine,https://www.google.com/aclk?sa=L&ai=DChsSEwj8o_XUvsqPAxUjm1AGHU01C5sYACICCAEQAxoCZGc&co=1&ase=2&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYASABEgIbjfD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1yC_MoLG82egY6W4C8YjODgbZj-Q&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664293181&gbraid=0AAAAApCrACZnAZsf1Q7XSOT9K6lMEOn8x&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYASABEgIbjfD_BwE,IGXFYC,,,,2,2025-09-09 09:06:38.073240
bingx exchange,ja,24/7 Multilingual Support,https://www.google.com/aclk?sa=L&ai=DChsSEwj8o_XUvsqPAxUjm1AGHU01C5sYACICCAEQBBoCZGc&co=1&ase=2&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYASACEgJTe_D_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2IgP1_gN3wncp_EjEg2gjrQNKsEw&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664293181&gbraid=0AAAAApCrACZnAZsf1Q7XSOT9K6lMEOn8x&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYASACEgJTe_D_BwE,IGXFYC,,,,3,2025-09-09 09:06:38.073240
bingx exchange,ja,The BTC Exchange | Buy & Sell Bitcoin Instantly,https://www.google.com/aclk?sa=L&ai=DChsSEwj8o_XUvsqPAxUjm1AGHU01C5sYACICCAEQABoCZGc&co=1&ase=2&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYAiAAEgJv5PD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0FFFPPYooh2DIdMR8OPYXioyH0qA&q&nis=4&adurl,,https://www.gemini.com/uk?utm_source=google&utm_campaignID=22931326752&utm_adgroupID=190129396488&utm_creativeID=771236143862&utm_medium=cpc&utm_content=p&utm_term=bitcoin%20exchange&gad_source=1&gad_campaignid=22931326752&gbraid=0AAAAACAY4aOa2Rw9gvbgbSuvZ50jDAfmt&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYAiAAEgJv5PD_BwE,,,,,4,2025-09-09 09:06:38.073240
bingx exchange,ja,View Prices,https://www.google.com/aclk?sa=L&ai=DChsSEwj8o_XUvsqPAxUjm1AGHU01C5sYACICCAEQAhoCZGc&co=1&ase=2&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYAiABEgLgJvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_11cFlCxR7jtDIo64kfbXp1eRUwqw&q&nis=4&adurl,,https://www.gemini.com/prices?utm_source=google&utm_campaignID=22931326752&utm_adgroupID=190129396488&utm_creativeID=771236143862&utm_medium=cpc&utm_content=p&utm_term=bitcoin%20exchange&gad_source=1&gad_campaignid=22931326752&gbraid=0AAAAACAY4aOa2Rw9gvbgbSuvZ50jDAfmt&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYAiABEgLgJvD_BwE,,,,,5,2025-09-09 09:06:38.073240
bingx exchange,ja,Best Exchange for Beginners,https://www.google.com/aclk?sa=L&ai=DChsSEwj8o_XUvsqPAxUjm1AGHU01C5sYACICCAEQBRoCZGc&co=1&ase=2&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYAiACEgJIUfD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1f2BLkuMHQiPr1nVbExd6C4WZZ4A&q&nis=4&adurl,,https://www.gemini.com/uk?utm_source=google&utm_campaignID=22931326752&utm_adgroupID=190129396488&utm_creativeID=771236143862&utm_medium=cpc&utm_content=p&utm_term=bitcoin%20exchange&gad_source=1&gad_campaignid=22931326752&gbraid=0AAAAACAY4aOa2Rw9gvbgbSuvZ50jDAfmt&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAAYAiACEgJIUfD_BwE,,,,,6,2025-09-09 09:06:38.073240
